Status,Type,City,Area,Name,EPCode,HJ212MN,ADCode,USCCode,NEICode,NEIName,Industry,Corporate,Address,Latitude,Longitude,Remark
0,30,南通市,港闸区,江苏南通发电有限公司,320601000001,320601000001888888889201,320611,9132060057815804XQ,D4411,火力发电,电力,费智,江苏省南通市港闸区天生港镇芦泾路1号,120.757089,32.028988,江苏南通发电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。公司装机2×1000MW超超临界机组。2019年发电量达92.11亿千瓦时。
0,20,南通市,海安市,海安天楹环保能源有限公司,3206210200004834,320621020000483488889301,320621,91320621684129795D,D4417,生物质能发电,电力,严圣军,海安县海安镇达欣路28号,120.404761,32.515144,海安天楹环保能源有限公司负责垃圾焚烧发电及蒸汽生产（涉及许可的取得专项许可后方可经营）；炉渣及制品销售；餐厨废弃物收集、运输及无害化处置。自成立以来发展迅速，业务不断发展壮大，始终坚持用户至上，秉承“保证一流质量，保持一级荣誉”的经营理念。
1,10,淮安市,淮安区,淮安明通环保工程有限公司,320803000058,320803000058888888889101,320803116000,91320803781279509F,D4620,污水处理及其再生利用,污水处理,徐春明,淮安区山阳大道66号,119.231692,33.563607,淮安明通污水处理厂于2018年建设，江苏淮安明通污水处理厂采用较为先进的“DN生物滤池+CN曝气生物滤池+滤布滤池+消毒”的处理工艺，其设计规模为0.5万立方米/日，先期日处理规模达到0.5万立方米/日，项目投资近980万元。污水处理厂尾水执行《城镇污水处理厂污染物排放标准》（GB18918-2002）中一级A标准。
1,20,淮安市,淮安区,江苏国信生物质发电有限公司,3208030200001903,320803020000190388889401,320803,91320803792331886H,D4419,其他电力生产,,王忠兵,淮安市淮安区工业园区纬二路与经十八路交界,119.204397,33.555222,建设规模为2×15MW秸秆发电机组，预计总投资资金约2.8亿元，2台机组于2008年底投产。项目投入商业运营后，燃料以棉秆为主、其他硬质秸秆为辅，不再消耗煤炭资源，年秸秆耗量约22万吨；机组投产后，预计年利用6000小时，年发电量1.8亿kwh，年消耗秸秆量为22万吨，年上网电量1.62亿kwh，年产值约1亿元。
1,20,淮安市,淮阴区,光大城乡再生能源（淮安）有限公司,3208040204000050,320804020400005088889401,320804,91320800MA1N09X390,D44,电力、热力生产和供应业,电力,赵永利,淮安市淮阴区淮河东路707号,119.147313,33.653258,建设规模为:日处理生活垃圾能力1000吨/日，远期1500吨/日，配备2台500吨/台的机械炉排垃圾焚烧炉+1台25兆瓦纯凝式汽轮发电机组，采用“SNCR炉内脱硝+半干法脱酸+干法喷射+活性炭吸附+布袋除尘器”烟气净化装置。年处理生活垃圾36.5万吨。年发电量14404.8万度，年上网电量11970万度。
0,10,淮安市,涟水县,涟水县深港产学研环保工程科技有限公司,320826000050,320826000050888888889101,320826412000,913208266763770787,D4620,污水处理及其再生利用,污水处理,沈超,涟水经济开发区西区祁六路,119.230473,33.783314,涟水县深港产学研环保工程技术有限公司办公室地址位于淮安涟水县经济开发区，于2008年06月05日在涟水县市场监督管理局注册成立，公司主要经营环境科学咨询；环保技术开发（不含限制项目）；生活污水和工业废水处理（取得环保局技术资格认证书后方可开业）等，采用AAO工艺。
1,10,淮安市,淮安区,淮安同方盐化工业污水处理有限公司,3208010201000084,320801020100008488889101,320801,91320800MA1UUJE438,D462,污水处理及其再生利用,,胡光,江苏省淮安市淮安区盐北大道,119.042972,33.414090,淮安同方水务有限公司成立于2004年12月，承建市政自来水、污水、工业废水、中水回用等项目。目前，公司投资、建设、运营四季青污水处理厂、第二污水处理厂、金湖县污水处理厂、涟水县污水处理厂等四个污水处理项目，现有资产达3亿，污水处理能力实现21.5万吨/日，服务面积达到55平方公里以上。
1,10,淮安市,清江浦区,淮安金州水务有限公司,320802000005,320802000005888888889101,320871052000,9132089179909318X0,D4620,污水处理及其再生利用,污水处理,徐丽,淮安经济开发区广州南路56号,119.108534,33.573346,淮安金州水务有限公司成立于2007年3月28日。项目采用BOT模式建设运营，享有30年的特许经营权。淮安经济技术开发区污水处理厂远期规模为16万吨/日，一期建设规模为8万吨/日，分二阶段建设。处理工艺采用循环式活性污泥法（C-TECH）。
0,10,盐城市,盐都区,盐城建宜水务有限公司,320900000157,320900000157888888889101,320903,91320903757331047Y,D4620,污水处理及其再生利用,污水处理,胡晓耸,盐都区美丽村,120.135022,33.350017,盐城建宜环境水务有限公司坐落于江苏省盐城市盐都区，设计处理能力为日处理污水5万吨，平均规模为4.45万吨每天。于2003年12月26日在盐城市盐都区市场监督管理局注册成立，注册资本为4600万元人民币。
0,10,盐城市,经开区,盐城建工环境水务有限公司,320900000159,320900000159888888889101,320971,91320991761026117H,D4620,污水处理及其再生利用,污水处理,胡晓耸,开发区污水厂,120.249654,33.349383,盐城建工环境水务有限公司（盐城经济开发区污水处理厂又名盐城海源水务有限公司），坐落于江苏盐城市，设计处理能力为日处理污水2.00万立方米。自2009年8月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为0.84 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用CAST处理工艺。
0,10,盐城市,射阳县,射阳县污水处理有限责任公司,320900000138,320900000138888888889101,320924,91320924768281196G,D4620,污水处理及其再生利用,污水处理,倪席平,射阳县经济开发区,120.262180,33.781510,射阳县污水处理有限责任公司，坐落于江苏盐城市，设计处理能力为日处理污水5.00万立方米。主要建设内容包括厂区土建施工，工艺设备、工艺管道安装，电气、自控系统安装，照明，防雷接地，采暖，通风，厂区道路施工及绿化等。射阳县污水处理有限责任公司自2007年1月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为5.00 万立方米。
0,30,盐城市,滨海县,国家电投集团协鑫滨海发电有限公司,3209220202001829,320922020200182988889201,320922,91320922063286544L,D4411,火力发电,,邢连中,盐城市滨海县滨海港区北疏港公路南侧综合楼,120.255260,34.307542,国家电投集团协鑫滨海发电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。总装机容量200万千瓦，于2019年投入使用。2019年发电量达95.22亿千瓦时。
0,20,盐城市,大丰区,江苏大吉环保能源大丰有限公司,3209040200006616,320904020000661688889301,320904,91320982061875935E,D4417,生物质能发电,电力,沙勇林,盐城市大丰区草庙镇川东工业集中区,120.732602,33.026124,江苏大吉环保能源大丰有限公司经营范围包括生活垃圾焚烧发电，垃圾焚烧产生灰渣处理等，处理规模为600t/d，采用机械炉排炉，烟气净化技术采用半干式旋转喷雾反应塔+活性炭喷射+布袋除尘器的净化工艺，预留SNCR脱氮。
0,10,盐城市,亭湖区,盐城市城东污水处理厂,320900000003,320900000003888888889101,320902,913209007040966538,D4620,污水处理及其再生利用,污水处理,朱怡,江苏省盐城市文港北路179号,120.150659,33.399702,
1,10,扬州市,邗江区,扬州市洁源排水有限公司汤汪污水处理厂,321000000006,321000000006888888889101,321001,91321000703902895A,D4620,污水处理及其再生利用,污水处理,严俊泉,江苏扬州汤汪同心村,119.467703,32.356932,扬州市洁源排水有限公司汤汪污水处理厂隶属于扬州市洁源排水有限公司位于江苏扬州汤汪路1号，设计处理能力为日处理污水18.00万立方米。扬州市洁源排水有限公司汤汪污水处理厂自2002年4月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为17.73 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用CAST处理工艺。
